,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
0,The Shawshank Redemption,1994,142,9.3,80,2321594,28.34
1,The Godfather,1972,175,9.2,100,1603485,134.97
2,The Dark Knight,2008,152,9.0,84,2283590,534.86
3,The Godfather: Part II,1974,202,9.0,90,1119809,57.3
4,12 Angry Men,1957,96,9.0,96,683240,4.36
5,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1629541,377.85
6,Pulp Fiction,1994,154,8.9,94,1810985,107.93
7,Schindler's List,1993,195,8.9,94,1203877,96.9
8,Inception,2010,148,8.8,74,2047017,292.58
9,Fight Club,1999,139,8.8,66,1838933,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1646037,315.54
11,Forrest Gump,1994,142,8.8,82,1790633,330.25
12,"Il buono, il brutto, il cattivo",1966,161,8.8,90,683305,6.1
13,Soorarai Pottru,2020,153,8.7,-1,51137,
14,The Lord of the Rings: The Two Towers,2002,179,8.7,87,1473166,342.55
15,The Matrix,1999,136,8.7,73,1661367,171.48
16,Goodfellas,1990,146,8.7,90,1010888,46.84
17,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1149787,290.48
18,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,911161,112.0
19,Hamilton,2020,160,8.6,90,50102,
20,Gisaengchung,2019,132,8.6,96,524576,53.37
21,Interstellar,2014,169,8.6,74,1491906,188.02
22,Cidade de Deus,2002,130,8.6,79,694987,7.56
23,Sen to Chihiro no kamikakushi,2001,125,8.6,96,643124,10.06
24,Saving Private Ryan,1998,169,8.6,91,1225137,216.54
25,The Green Mile,1999,189,8.6,61,1136219,136.8
26,La vita è bella,1997,116,8.6,59,617822,57.6
27,Se7en,1995,127,8.6,65,1430973,100.13
28,The Silence of the Lambs,1991,118,8.6,85,1259146,130.74
29,Star Wars,1977,121,8.6,90,1221711,322.74
30,Seppuku,1962,133,8.6,85,40703,
31,Shichinin no samurai,1954,207,8.6,98,313396,0.27
32,It's a Wonderful Life,1946,130,8.6,89,397305,
33,Joker,2019,122,8.5,59,913782,335.45
34,Vikram Vedha,2017,147,8.5,-1,27154,
35,Whiplash,2014,106,8.5,88,708482,13.09
36,The Intouchables,2011,112,8.5,57,751215,13.18
37,The Prestige,2006,130,8.5,66,1178980,53.09
38,The Departed,2006,151,8.5,85,1179481,132.38
39,The Pianist,2002,150,8.5,85,722542,32.57
40,Gladiator,2000,155,8.5,67,1330375,187.71
41,American History X,1998,119,8.5,62,1028032,6.72
42,The Usual Suspects,1995,106,8.5,77,984072,23.34
43,Léon,1994,110,8.5,64,1026373,19.5
44,The Lion King,1994,88,8.5,88,933665,422.78
45,Terminator 2: Judgment Day,1991,137,8.5,75,989087,204.84
46,Nuovo Cinema Paradiso,1988,155,8.5,80,228301,11.99
47,Hotaru no haka,1988,89,8.5,94,232178,
48,Back to the Future,1985,116,8.5,87,1048261,210.61
49,Once Upon a Time in the West,1968,165,8.5,80,300553,5.32
50,Psycho,1960,109,8.5,97,599616,32.0
51,Casablanca,1942,102,8.5,100,518101,1.02
52,Modern Times,1936,87,8.5,96,215844,0.16
53,City Lights,1931,87,8.5,99,166286,0.02
54,Capharnaüm,2018,126,8.4,75,59830,1.66
55,Ayla: The Daughter of War,2017,125,8.4,-1,33481,
56,Kimi no na wa.,2016,106,8.4,79,189673,5.02
57,Dangal,2016,161,8.4,-1,153835,12.39
58,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,364670,190.24
59,Avengers: Endgame,2019,181,8.4,78,790225,858.37
60,Avengers: Infinity War,2018,149,8.4,68,821026,678.82
61,Coco,2017,105,8.4,81,370831,209.73
62,Django Unchained,2012,165,8.4,81,1344232,162.81
63,The Dark Knight Rises,2012,164,8.4,78,1504714,448.14
64,3 Idiots,2009,170,8.4,67,340585,6.53
65,Taare Zameen Par,2007,165,8.4,-1,166747,1.22
66,WALL·E,2008,98,8.4,95,991002,223.81
67,The Lives of Others,2006,137,8.4,89,355843,11.29
68,Oldeuboi,2003,120,8.4,77,510833,0.71
69,Memento,2000,113,8.4,80,1117349,25.54
70,Mononoke-hime,1997,134,8.4,76,339244,2.38
71,Once Upon a Time in America,1984,229,8.4,-1,308420,5.32
72,Raiders of the Lost Ark,1981,115,8.4,85,878046,248.16
73,The Shining,1980,146,8.4,66,890466,44.02
74,Apocalypse Now,1979,147,8.4,94,601789,83.47
75,Alien,1979,117,8.4,89,782076,78.9
76,Anand,1971,122,8.4,-1,29651,
77,Tengoku to jigoku,1963,143,8.4,-1,33454,
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,447485,0.28
79,Witness for the Prosecution,1957,116,8.4,-1,107731,8.18
80,Paths of Glory,1957,88,8.4,90,176538,
81,Rear Window,1954,112,8.4,100,440649,36.76
82,Sunset Blvd.,1950,110,8.4,-1,200028,
83,The Great Dictator,1940,125,8.4,-1,201428,0.29
84,1917,2019,119,8.3,78,404521,159.23
85,Tumbbad,2018,104,8.3,-1,26796,
86,Andhadhun,2018,139,8.3,-1,70011,1.37
87,Drishyam,2013,160,8.3,-1,30451,
88,Jagten,2012,115,8.3,77,277077,0.69
89,Jodaeiye Nader az Simin,2011,123,8.3,95,218094,7.1
90,Incendies,2010,131,8.3,80,147694,6.86
91,Miracle in cell NO.7,2019,132,8.3,-1,32261,
92,Babam ve Oglum,2005,112,8.3,-1,78043,
93,Toy Story 3,2010,103,8.3,92,751339,415.0
94,Inglourious Basterds,2009,153,8.3,69,1254881,120.54
95,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,905221,34.4
96,Amélie,2001,122,8.3,69,699394,33.23
97,Snatch,2000,104,8.3,55,776801,30.33
98,Requiem for a Dream,2000,102,8.3,68,761132,3.64
99,American Beauty,1999,122,8.3,84,1063015,130.1
100,Good Will Hunting,1997,126,8.3,70,853794,138.43
101,Bacheha-Ye aseman,1997,89,8.3,77,64461,0.93
102,Toy Story,1995,81,8.3,95,879777,191.8
103,Braveheart,1995,178,8.3,68,953364,75.6
104,Reservoir Dogs,1992,99,8.3,79,911426,2.83
105,Full Metal Jacket,1987,116,8.3,76,670128,46.36
106,Idi i smotri,1985,142,8.3,-1,57711,
107,Aliens,1986,137,8.3,84,648811,85.16
108,Amadeus,1984,160,8.3,88,366547,51.97
109,Scarface,1983,170,8.3,65,734626,45.6
110,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,942577,309.13
111,Das Boot,1981,149,8.3,86,230204,11.49
112,Taxi Driver,1976,114,8.3,94,717976,28.26
113,The Sting,1973,129,8.3,83,239869,159.6
114,A Clockwork Orange,1971,136,8.3,77,752723,6.21
115,2001: A Space Odyssey,1968,149,8.3,84,598894,56.95
116,Per qualche dollaro in più,1965,132,8.3,74,230872,15.0
117,Lawrence of Arabia,1962,228,8.3,100,266021,44.82
118,The Apartment,1960,125,8.3,94,162808,18.6
119,North by Northwest,1959,136,8.3,98,296877,13.28
120,Vertigo,1958,128,8.3,100,361277,3.2
121,Singin' in the Rain,1952,103,8.3,99,216931,8.82
122,Ikiru,1952,143,8.3,-1,67619,0.06
123,Ladri di biciclette,1948,89,8.3,-1,144983,0.33
124,Double Indemnity,1944,107,8.3,95,142425,5.72
125,Citizen Kane,1941,119,8.3,100,399273,1.59
126,M - Eine Stadt sucht einen Mörder,1931,117,8.3,-1,142297,0.03
127,Metropolis,1927,153,8.3,98,158901,1.24
128,The Kid,1921,68,8.3,-1,112049,5.45
129,Chhichhore,2019,143,8.2,-1,32400,0.9
130,Uri: The Surgical Strike,2018,138,8.2,-1,42729,4.19
131,K.G.F: Chapter 1,2018,156,8.2,-1,34299,
132,Green Book,2018,130,8.2,69,364121,85.08
133,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,424742,54.51
134,Talvar,2015,132,8.2,-1,30799,0.34
135,Baahubali 2: The Conclusion,2017,167,8.2,-1,74334,20.19
136,Klaus,2019,96,8.2,65,90523,
137,Drishyam,2015,163,8.2,-1,69042,0.74
138,Queen,2013,146,8.2,-1,60328,1.43
139,Mandariinid,2013,87,8.2,73,39488,0.14
140,Bhaag Milkha Bhaag,2013,186,8.2,-1,60645,1.63
141,Gangs of Wasseypur,2012,321,8.2,89,81233,
142,Udaan,2010,134,8.2,-1,42087,0.01
143,Paan Singh Tomar,2012,135,8.2,-1,32976,0.04
144,El secreto de sus ojos,2009,129,8.2,80,191486,6.39
145,Warrior,2011,140,8.2,71,433292,13.66
146,Shutter Island,2010,138,8.2,63,1118538,128.01
147,Up,2009,96,8.2,88,926994,293.0
148,The Wolf of Wall Street,2013,180,8.2,75,1169526,116.9
149,Chak De! India,2007,153,8.2,68,73517,1.11
150,There Will Be Blood,2007,158,8.2,93,512661,40.22
151,Pan's Labyrinth,2006,118,8.2,98,614995,37.63
152,V for Vendetta,2005,132,8.2,62,1025960,70.51
153,Rang De Basanti,2006,167,8.2,-1,111071,2.2
154,Black,2005,122,8.2,-1,33206,0.73
155,Batman Begins,2005,140,8.2,70,1298485,206.85
156,"Swades: We, the People",2004,210,8.2,-1,82486,1.22
157,Der Untergang,2004,156,8.2,82,329280,5.51
158,Hauru no ugoku shiro,2004,119,8.2,80,329176,4.71
159,A Beautiful Mind,2001,135,8.2,72,841887,170.74
160,Hera Pheri,2000,156,8.2,-1,56438,
161,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,531785,3.9
162,L.A. Confidential,1997,138,8.2,90,528540,64.62
163,Eskiya,1996,128,8.2,-1,63487,
164,Heat,1995,170,8.2,76,572005,67.44
165,Casino,1995,178,8.2,73,462127,42.44
166,Andaz Apna Apna,1994,160,8.2,-1,48993,
167,Unforgiven,1992,130,8.2,85,373233,101.16
168,Indiana Jones and the Last Crusade,1989,127,8.2,65,687554,197.17
169,Dom za vesanje,1988,142,8.2,-1,25466,0.28
170,Tonari no Totoro,1988,86,8.2,86,287071,1.11
171,Die Hard,1988,132,8.2,72,781925,83.01
172,Ran,1985,162,8.2,96,111499,4.14
173,Raging Bull,1980,129,8.2,89,319452,23.38
174,Stalker,1979,162,8.2,-1,115481,0.23
175,Höstsonaten,1978,99,8.2,-1,25899,
176,The Message,1976,177,8.2,-1,43643,
177,Sholay,1975,204,8.2,-1,50949,
178,Monty Python and the Holy Grail,1975,91,8.2,91,498063,1.23
179,The Great Escape,1963,172,8.2,86,223132,12.1
180,To Kill a Mockingbird,1962,129,8.2,88,292269,
181,Yôjinbô,1961,110,8.2,-1,110141,
182,Judgment at Nuremberg,1961,179,8.2,60,68903,
183,Some Like It Hot,1959,121,8.2,98,241866,25.0
184,Smultronstället,1957,91,8.2,88,95191,
185,Det sjunde inseglet,1957,96,8.2,88,163150,
186,Du rififi chez les hommes,1955,118,8.2,97,28194,0.06
187,Dial M for Murder,1954,105,8.2,75,156921,0.01
188,Tôkyô monogatari,1953,136,8.2,-1,52425,
189,Rashômon,1950,88,8.2,98,151269,0.1
190,All About Eve,1950,138,8.2,98,119803,0.01
191,The Treasure of the Sierra Madre,1948,126,8.2,98,113514,5.01
192,To Be or Not to Be,1942,99,8.2,86,29231,
193,The Gold Rush,1925,95,8.2,-1,99994,5.45
194,Sherlock Jr.,1924,45,8.2,-1,41323,0.98
195,Portrait de la jeune fille en feu,2019,122,8.1,95,59168,3.76
196,Pink,2016,136,8.1,-1,38709,1.24
197,Koe no katachi,2016,130,8.1,78,45538,
198,Contratiempo,2016,106,8.1,-1,136452,
199,Ah-ga-ssi,2016,145,8.1,84,110709,2.01
200,Mommy,2014,139,8.1,74,50042,3.49
201,Haider,2014,160,8.1,-1,50130,0.9
202,Logan,2017,137,8.1,77,641375,226.28
203,Room,2015,118,8.1,86,366543,14.68
204,Relatos salvajes,2014,122,8.1,77,175061,3.11
205,Kis Uykusu,2014,196,8.1,88,45601,0.17
206,PK,2014,153,8.1,-1,161105,10.62
207,OMG: Oh My God!,2012,125,8.1,-1,51161,0.92
208,The Grand Budapest Hotel,2014,99,8.1,88,700549,59.1
209,Gone Girl,2014,149,8.1,79,851258,167.77
210,Ôkami kodomo no Ame to Yuki,2012,117,8.1,71,38356,
211,Hacksaw Ridge,2016,139,8.1,71,430009,67.21
212,Inside Out,2015,95,8.1,94,606074,356.46
213,Barfi!,2012,151,8.1,-1,75176,2.8
214,12 Years a Slave,2013,134,8.1,96,635156,56.67
215,Rush,2013,123,8.1,74,429737,26.95
216,Ford v Ferrari,2019,152,8.1,81,280620,117.62
217,Spotlight,2015,129,8.1,93,415956,45.06
218,Song of the Sea,2014,93,8.1,85,50722,0.86
219,Kahaani,2012,122,8.1,-1,57395,1.04
220,Zindagi Na Milegi Dobara,2011,155,8.1,-1,67168,3.11
221,Prisoners,2013,153,8.1,70,594414,61.0
222,Mad Max: Fury Road,2015,120,8.1,90,873625,154.06
223,A Wednesday,2008,104,8.1,-1,73515,
224,Gran Torino,2008,116,8.1,72,716280,148.1
225,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,757053,381.01
226,Okuribito,2008,130,8.1,68,48298,1.5
227,Hachi: A Dog's Tale,2009,93,8.1,-1,250926,
228,Mary and Max,2009,92,8.1,-1,163419,
229,How to Train Your Dragon,2010,98,8.1,75,661598,217.58
230,Tropa de Elite,2007,115,8.1,33,97655,0.01
231,Into the Wild,2007,148,8.1,73,568336,18.35
232,No Country for Old Men,2007,122,8.1,91,848506,74.28
233,Lage Raho Munna Bhai,2006,144,8.1,-1,42782,2.22
234,Million Dollar Baby,2004,132,8.1,86,631792,100.49
235,Hotel Rwanda,2004,121,8.1,79,332674,23.53
236,Taegukgi hwinalrimyeo,2004,140,8.1,64,37686,1.11
237,Before Sunset,2004,80,8.1,90,233911,5.82
238,Munna Bhai M.B.B.S.,2003,156,8.1,-1,73373,
239,Salinui chueok,2003,131,8.1,82,136012,0.01
240,Dil Chahta Hai,2001,183,8.1,-1,66332,0.3
241,Kill Bill: Vol. 1,2003,111,8.1,69,992965,70.1
242,Finding Nemo,2003,100,8.1,90,942245,380.84
243,Catch Me If You Can,2002,141,8.1,75,820068,164.62
244,Amores perros,2000,154,8.1,83,222279,5.38
245,"Monsters, Inc.",2001,92,8.1,79,808545,289.92
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,-1,38070,
247,Lagaan: Once Upon a Time in India,2001,224,8.1,84,104281,0.07
248,The Sixth Sense,1999,107,8.1,64,906099,293.51
249,La leggenda del pianista sull'oceano,1998,169,8.1,58,58581,0.26
250,The Truman Show,1998,103,8.1,90,929929,125.62
251,"Crna macka, beli macor",1998,127,8.1,73,50539,0.35
252,The Big Lebowski,1998,117,8.1,71,727203,17.5
253,Fa yeung nin wah,2000,98,8.1,85,122733,2.73
254,Trainspotting,1996,93,8.1,83,630976,16.5
255,Fargo,1996,98,8.1,85,612502,24.61
256,Underground,1995,170,8.1,-1,54888,0.17
257,La haine,1995,98,8.1,-1,148492,0.31
258,Dilwale Dulhania Le Jayenge,1995,189,8.1,-1,63049,
259,Before Sunrise,1995,101,8.1,77,269230,5.54
260,Trois couleurs: Rouge,1994,99,8.1,100,89708,4.04
261,Chung Hing sam lam,1994,102,8.1,77,62071,0.6
262,Jurassic Park,1993,127,8.1,68,860705,402.45
263,In the Name of the Father,1993,133,8.1,84,155667,25.01
264,Dà hóng denglong gaogao guà,1991,125,8.1,-1,29388,2.6
265,Dead Poets Society,1989,128,8.1,79,420633,95.86
266,Stand by Me,1986,89,8.1,75,361038,52.29
267,Platoon,1986,120,8.1,92,378803,138.53
268,"Paris, Texas",1984,145,8.1,78,89681,2.18
269,Kaze no tani no Naushika,1984,117,8.1,86,149109,0.5
270,The Thing,1982,109,8.1,57,368530,13.78
271,Pink Floyd: The Wall,1982,95,8.1,47,75699,22.24
272,Fitzcarraldo,1982,158,8.1,-1,31308,
273,Fanny och Alexander,1982,188,8.1,100,57151,4.97
274,Blade Runner,1982,117,8.1,84,688815,32.87
275,The Elephant Man,1980,124,8.1,78,218358,
276,Life of Brian,1979,94,8.1,77,364708,20.05
277,The Deer Hunter,1978,183,8.1,86,309187,48.98
278,Rocky,1976,120,8.1,70,514531,117.24
279,Network,1976,121,8.1,83,144056,
280,Barry Lyndon,1975,185,8.1,89,148367,
281,Zerkalo,1975,107,8.1,-1,39466,0.18
282,Chinatown,1974,130,8.1,92,291925,29.0
283,Paper Moon,1973,102,8.1,77,42009,30.93
284,Viskningar och rop,1972,91,8.1,-1,29901,1.74
285,Solaris,1972,167,8.1,90,80189,
286,Le samouraï,1967,105,8.1,-1,45002,0.04
287,Cool Hand Luke,1967,127,8.1,92,160637,16.22
288,Persona,1966,85,8.1,86,101827,
289,Andrei Rublev,1966,205,8.1,-1,46303,0.1
290,La battaglia di Algeri,1966,121,8.1,96,52505,0.06
291,El ángel exterminador,1962,95,8.1,-1,29460,
292,What Ever Happened to Baby Jane?,1962,134,8.1,75,49787,4.05
293,Sanjuro,1962,96,8.1,-1,32602,
294,The Man Who Shot Liberty Valance,1962,123,8.1,94,68304,
295,Ivanovo detstvo,1962,95,8.1,-1,31279,
296,Jungfrukällan,1960,89,8.1,-1,26506,1.53
297,Inherit the Wind,1960,128,8.1,75,27097,
298,Les quatre cents coups,1959,99,8.1,-1,104189,
299,Ben-Hur,1959,212,8.1,90,217930,74.7
300,Kakushi-toride no san-akunin,1958,139,8.1,-1,34324,
301,Sweet Smell of Success,1957,96,8.1,100,27867,
302,Le notti di Cabiria,1957,110,8.1,-1,42580,0.75
303,Kumonosu-jô,1957,110,8.1,-1,46184,
304,The Bridge on the River Kwai,1957,161,8.1,87,202063,44.91
305,On the Waterfront,1954,108,8.1,91,141027,9.6
306,Le salaire de la peur,1953,131,8.1,85,54125,
307,Ace in the Hole,1951,111,8.1,72,31311,3.97
308,White Heat,1949,114,8.1,-1,29561,
309,The Third Man,1949,104,8.1,97,157689,0.45
310,The Red Shoes,1948,135,8.1,-1,30639,10.9
311,The Shop Around the Corner,1940,99,8.1,96,27783,0.2
312,Rebecca,1940,130,8.1,86,122932,4.36
313,Mr. Smith Goes to Washington,1939,129,8.1,73,106198,9.6
314,Gone with the Wind,1939,238,8.1,97,288011,198.68
315,La Grande Illusion,1937,113,8.1,-1,33616,0.17
316,It Happened One Night,1934,105,8.1,87,93191,4.36
317,La passion de Jeanne d'Arc,1928,110,8.1,-1,47104,0.02
318,The Circus,1928,72,8.1,90,29775,
319,Sunrise: A Song of Two Humans,1927,94,8.1,-1,46654,0.54
320,The General,1926,67,8.1,-1,80412,1.03
321,Das Cabinet des Dr. Caligari,1920,76,8.1,-1,56976,
322,Manbiki kazoku,2018,121,8.0,93,60797,3.31
323,Badhaai ho,2018,124,8.0,-1,27450,
324,Marriage Story,2019,137,8.0,94,240510,2.0
325,Togo,2019,113,8.0,69,35304,
326,Airlift,2016,130,8.0,-1,52586,
327,Bajrangi Bhaijaan,2015,163,8.0,-1,71463,8.18
328,Baby,2015,159,8.0,-1,52524,
329,La La Land,2016,128,8.0,94,499255,151.1
330,Lion,2016,118,8.0,69,211545,51.74
331,The Martian,2015,144,8.0,80,753572,228.43
332,Zootopia,2016,108,8.0,78,429534,341.27
