,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
665,Boyz n the Hood,1991,112,7.8,76,125012,57.5
666,Misery,1990,107,7.8,75,183175,61.28
667,Awakenings,1990,121,7.8,74,123430,52.1
668,Majo no takkyûbin,1989,103,7.8,83,122193,
669,Glory,1989,122,7.8,78,121722,26.83
670,Dip huet seung hung,1989,111,7.8,82,45425,
671,Back to the Future Part II,1989,108,7.8,57,477833,118.5
672,Mississippi Burning,1988,128,7.8,65,87458,34.6
673,Predator,1987,107,7.8,45,369245,59.74
674,Evil Dead II,1987,84,7.8,72,147543,5.92
675,Ferris Bueller's Day Off,1986,103,7.8,61,319256,70.14
676,Down by Law,1986,107,7.8,75,47559,1.44
677,The Goonies,1985,114,7.8,62,242520,61.5
678,The Color Purple,1985,154,7.8,78,77756,98.47
679,The Breakfast Club,1985,97,7.8,66,354865,45.88
680,The Killing Fields,1984,141,7.8,76,51294,34.7
681,Ghostbusters,1984,105,7.8,71,353053,238.63
682,The Right Stuff,1983,193,7.8,91,55972,21.5
683,The King of Comedy,1982,109,7.8,73,87239,2.5
684,E.T. the Extra-Terrestrial,1982,115,7.8,91,369391,435.11
685,Kramer vs. Kramer,1979,105,7.8,77,132215,106.26
686,Days of Heaven,1978,94,7.8,93,52355,
687,The Outlaw Josey Wales,1976,135,7.8,69,65195,31.8
688,The Man Who Would Be King,1975,129,7.8,91,44420,
689,The Conversation,1974,113,7.8,85,97582,4.42
690,The Day of the Jackal,1973,143,7.8,80,37142,16.06
691,Badlands,1973,94,7.8,93,65462,
692,Cabaret,1972,124,7.8,80,47988,42.77
693,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,177190,4.0
694,Midnight Cowboy,1969,113,7.8,79,100330,44.79
695,Wait Until Dark,1967,108,7.8,81,27586,17.55
696,Guess Who's Coming to Dinner,1967,108,7.8,63,39282,56.7
697,Bonnie and Clyde,1967,111,7.8,86,101607,
698,My Fair Lady,1964,170,7.8,95,85898,72.0
699,Mary Poppins,1964,139,7.8,88,156665,102.27
700,The Longest Day,1962,178,7.8,75,51947,39.1
701,Jules et Jim,1962,105,7.8,97,37226,
702,The Innocents,1961,100,7.8,88,26834,2.62
703,À bout de souffle,1960,90,7.8,-1,72635,0.34
704,Red River,1948,133,7.8,-1,27965,
705,Key Largo,1948,100,7.8,-1,36815,
706,To Have and Have Not,1944,100,7.8,-1,30810,
707,Shadow of a Doubt,1943,108,7.8,94,59119,
708,Stagecoach,1939,96,7.8,93,43212,
709,The Lady Vanishes,1938,96,7.8,-1,47037,
710,Bride of Frankenstein,1935,75,7.8,95,43245,4.36
711,Duck Soup,1933,69,7.8,93,55382,
712,Scarface: The Shame of the Nation,1932,93,7.8,87,25130,
713,Frankenstein,1931,70,7.8,91,64886,
714,Roma,2018,135,7.7,96,138516,
715,Deadpool 2,2018,119,7.7,66,472868,324.59
716,Wind River,2017,107,7.7,73,201290,33.8
717,Get Out,2017,104,7.7,85,486470,176.04
718,Mission: Impossible - Fallout,2018,147,7.7,86,288238,220.16
719,En man som heter Ove,2015,116,7.7,70,46698,3.36
720,What We Do in the Shadows,2014,86,7.7,76,155739,3.33
721,Omoide no Mânî,2014,103,7.7,72,32103,0.77
722,The Theory of Everything,2014,123,7.7,72,400253,35.89
723,Kingsman: The Secret Service,2014,129,7.7,60,586812,128.26
724,The Fault in Our Stars,2014,126,7.7,69,342054,124.87
725,Me and Earl and the Dying Girl,2015,105,7.7,74,122421,6.74
726,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,575932,42.34
727,La vie d'Adèle,2013,180,7.7,89,137696,2.2
728,Kai po che!,2013,130,7.7,40,31868,1.12
729,The Broken Circle Breakdown,2012,111,7.7,70,39168,0.18
730,Captain America: The Winter Soldier,2014,136,7.7,70,730076,259.77
731,Rockstar,2011,159,7.7,-1,39098,0.99
732,Nebraska,2013,115,7.7,87,111789,17.65
733,Wreck-It Ralph,2012,101,7.7,72,377102,189.42
734,Le Petit Prince,2015,108,7.7,70,56229,1.34
735,Detachment,2011,98,7.7,52,76480,0.07
736,Midnight in Paris,2011,96,7.7,81,385543,56.82
737,The Lego Movie,2014,100,7.7,83,322508,257.76
738,Gravity,2013,91,7.7,96,764702,274.09
739,Star Trek Into Darkness,2013,132,7.7,72,461608,228.78
740,Beasts of No Nation,2015,137,7.7,79,73237,0.08
741,The Social Network,2010,120,7.7,95,619828,96.96
742,X: First Class,2011,131,7.7,65,642773,146.41
743,The Hangover,2009,100,7.7,73,713753,277.32
744,Skyfall,2012,143,7.7,81,627261,304.36
745,Silver Linings Playbook,2012,122,7.7,81,657963,132.09
746,Argo,2012,120,7.7,86,569342,136.03
747,(500) Days of Summer,2009,95,7.7,76,469781,32.39
748,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,473623,295.98
749,Gake no ue no Ponyo,2008,101,7.7,86,123585,15.09
750,Frost/Nixon,2008,122,7.7,80,102790,18.59
751,Papurika,2006,90,7.7,81,70368,0.88
752,Changeling,2008,141,7.7,63,237880,35.74
753,Flipped,2010,90,7.7,45,81009,1.75
754,Toki o kakeru shôjo,2006,98,7.7,-1,59867,
755,Death Note: Desu nôto,2006,126,7.7,-1,28521,
756,This Is England,2006,101,7.7,86,115175,0.33
757,Ex Machina,2014,108,7.7,78,470433,25.44
758,Efter brylluppet,2006,120,7.7,78,31803,0.41
759,The Last King of Scotland,2006,123,7.7,74,174551,17.61
760,Zodiac,2007,157,7.7,78,459544,33.08
761,Lucky Number Slevin,2006,110,7.7,53,298664,22.49
762,Joyeux Noël,2005,116,7.7,70,27660,1.05
763,Control,2007,122,7.7,78,61315,0.87
764,Tangled,2010,100,7.7,71,402621,200.82
765,Zwartboek,2006,145,7.7,71,72332,4.4
766,Brokeback Mountain,2005,134,7.7,87,321088,83.04
767,3:10 to Yuma,2007,122,7.7,76,287286,53.61
768,Crash,2004,112,7.7,66,418051,54.58
769,Kung fu,2004,99,7.7,78,126461,17.11
770,The Bourne Supremacy,2004,108,7.7,73,432426,176.24
771,The Machinist,2004,101,7.7,61,356021,1.08
772,Ray,2004,152,7.7,73,137607,75.33
773,Lost in Translation,2003,102,7.7,89,411464,44.59
774,Harry Potter and the Goblet of Fire,2005,157,7.7,81,542618,290.01
775,Man on Fire,2004,146,7.7,47,327563,77.91
776,Coraline,2009,100,7.7,80,196251,75.29
777,The Last Samurai,2003,154,7.7,55,397669,111.11
778,The Magdalene Sisters,2002,114,7.7,83,25831,4.89
779,Finding Neverland,2004,106,7.7,67,197949,51.68
780,Good Bye Lenin!,2003,121,7.7,68,137293,4.06
781,In America,2002,105,7.7,76,40318,15.54
782,I Am Sam,2001,132,7.7,28,142344,40.31
783,Adaptation.,2002,115,7.7,83,177357,22.25
784,Black Hawk Down,2001,144,7.7,74,362293,108.64
785,Road to Perdition,2002,117,7.7,72,245243,104.45
786,Das Experiment,2001,120,7.7,60,90587,0.14
787,Billy Elliot,2000,110,7.7,74,125879,22.0
788,Hedwig and the Angry Inch,2001,95,7.7,85,31819,3.03
789,Ocean's Eleven,2001,116,7.7,74,512640,183.42
790,Vampire Hunter D: Bloodlust,2000,103,7.7,62,29066,0.15
791,"O Brother, Where Art Thou?",2000,107,7.7,69,283386,45.51
792,Interstate 60: Episodes of the Road,2002,116,7.7,-1,29818,
793,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,191483,52.04
794,Office Space,1999,89,7.7,68,240333,10.82
795,Happiness,1998,134,7.7,81,66118,2.81
796,Training Day,2001,122,7.7,69,387187,76.63
797,Rushmore,1998,93,7.7,86,168285,17.11
798,Abre los ojos,1997,119,7.7,-1,63757,0.37
799,Being John Malkovich,1999,113,7.7,90,310750,22.86
800,As Good as It Gets,1997,139,7.7,67,273745,148.48
801,The Fifth Element,1997,126,7.7,52,431455,63.54
802,Le dîner de cons,1998,80,7.7,73,37131,4.07
803,Donnie Brasco,1997,127,7.7,76,276831,41.91
804,Shine,1996,105,7.7,87,51058,35.81
805,Primal Fear,1996,129,7.7,47,187497,56.12
806,Hamlet,1996,242,7.7,-1,35855,4.41
807,A Little Princess,1995,97,7.7,83,32031,10.02
808,Do lok tin si,1995,99,7.7,71,25848,
809,Il postino,1994,108,7.7,81,33364,21.85
810,Clerks,1994,92,7.7,70,210845,3.15
811,Short Cuts,1993,188,7.7,79,42087,6.11
812,Philadelphia,1993,125,7.7,66,222628,77.32
813,The Muppet Christmas Carol,1992,85,7.7,64,48747,27.28
814,Malcolm X,1992,202,7.7,73,85007,48.17
815,The Last of the Mohicans,1992,112,7.7,76,148472,75.51
816,Kurenai no buta,1992,94,7.7,83,76642,
817,Glengarry Glen Ross,1992,100,7.7,82,95252,10.73
818,A Few Good Men,1992,138,7.7,62,233525,141.34
819,Fried Green Tomatoes,1991,130,7.7,64,66468,82.42
820,Barton Fink,1991,116,7.7,69,112539,6.15
821,Miller's Crossing,1990,115,7.7,66,125218,5.08
822,Who Framed Roger Rabbit,1988,104,7.7,83,180953,156.45
823,Spoorloos,1988,107,7.7,-1,33714,
824,Withnail & I,1987,107,7.7,84,39988,1.54
825,The Last Emperor,1987,163,7.7,76,93553,43.98
826,Empire of the Sun,1987,153,7.7,62,114870,22.24
827,Der Name der Rose,1986,130,7.7,54,101424,7.15
828,Blue Velvet,1986,120,7.7,76,179791,8.55
829,The Purple Rose of Cairo,1985,82,7.7,75,46840,10.63
830,After Hours,1985,97,7.7,90,58636,10.6
831,Zelig,1983,79,7.7,-1,39701,11.8
832,The Verdict,1982,129,7.7,77,35799,54.0
833,Star Trek II: The Wrath of Khan,1982,113,7.7,67,112128,78.91
834,First Blood,1982,93,7.7,61,224795,47.21
835,Ordinary People,1980,124,7.7,86,46652,54.8
836,Airplane!,1980,88,7.7,78,213218,83.4
837,Rupan sansei: Kariosutoro no shiro,1979,100,7.7,71,26606,
838,Halloween,1978,91,7.7,87,231826,47.0
839,Le locataire,1976,126,7.7,71,39544,1.92
840,Love and Death,1975,85,7.7,89,35803,
841,The Taking of Pelham One Two Three,1974,104,7.7,68,26406,
842,Blazing Saddles,1974,93,7.7,73,125271,119.5
843,Serpico,1973,130,7.7,87,108952,29.8
844,Enter the Dragon,1973,102,7.7,83,95716,25.0
845,Deliverance,1972,109,7.7,80,98238,7.06
846,The French Connection,1971,104,7.7,94,109259,15.63
847,Dirty Harry,1971,102,7.7,90,142394,35.9
848,Where Eagles Dare,1968,158,7.7,63,51558,
849,The Odd Couple,1968,105,7.7,86,31386,44.53
850,The Dirty Dozen,1967,150,7.7,73,66800,45.3
851,Belle de jour,1967,100,7.7,-1,39912,0.03
852,A Man for All Seasons,1966,120,7.7,72,31033,28.35
853,Repulsion,1965,105,7.7,91,48608,
854,Zulu,1964,138,7.7,77,35688,
855,Goldfinger,1964,110,7.7,87,172718,51.08
856,The Birds,1963,119,7.7,90,170538,11.4
857,Cape Fear,1962,106,7.7,76,26260,
858,Peeping Tom,1960,101,7.7,-1,31142,0.08
859,The Magnificent Seven,1960,128,7.7,74,87194,4.91
860,Les yeux sans visage,1960,90,7.7,90,27338,0.05
861,Invasion of the Body Snatchers,1956,80,7.7,92,44613,
862,Rebel Without a Cause,1955,111,7.7,89,82809,
863,The Ladykillers,1955,91,7.7,91,26097,
864,Sabrina,1954,113,7.7,72,58857,
865,The Quiet Man,1952,129,7.7,-1,34411,10.55
866,The Day the Earth Stood Still,1951,92,7.7,-1,76075,
867,The African Queen,1951,105,7.7,91,71022,0.54
868,Gilda,1946,110,7.7,-1,27741,
869,Fantasia,1940,125,7.7,96,88046,76.41
870,The Invisible Man,1933,71,7.7,87,30328,
871,Dark Waters,2019,126,7.6,73,55401,
872,Searching,2018,102,7.6,71,138692,26.02
873,Once Upon a Time... in Hollywood,2019,161,7.6,83,537246,142.5
874,Tenet,2020,150,7.6,69,218994,53.8
875,Nelyubov,2017,127,7.6,86,29383,0.57
876,The Florida Project,2017,111,7.6,92,93495,5.9
877,Just Mercy,2019,137,7.6,68,44287,
878,Gifted,2017,101,7.6,60,98520,24.8
879,The Peanut Butter Falcon,2019,97,7.6,70,62634,13.12
880,Victoria,2015,138,7.6,77,52278,
881,Mustang,2015,97,7.6,83,35424,0.85
882,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,563071,389.81
883,Baby Driver,2017,113,7.6,86,433589,107.83
884,Only the Brave,2017,134,7.6,72,57365,18.34
885,Bridge of Spies,2015,142,7.6,81,285418,72.31
886,Incredibles 2,2018,118,7.6,80,246116,608.58
887,Moana,2016,107,7.6,81,268562,248.76
888,Sicario,2015,121,7.6,82,367840,46.89
889,Creed,2015,133,7.6,82,245683,109.77
890,Leviafan,2014,140,7.6,92,48981,1.09
891,Hell or High Water,2016,102,7.6,88,202267,26.86
892,Philomena,2013,98,7.6,77,93709,37.71
893,Dawn of the Planet of the Apes,2014,130,7.6,79,410058,208.55
894,El cuerpo,2012,112,7.6,-1,56567,
895,Serbuan maut,2011,101,7.6,73,189562,4.11
896,End of Watch,2012,109,7.6,68,226920,41.0
897,Kari-gurashi no Arietti,2010,94,7.6,80,79904,19.2
898,A Star Is Born,2018,136,7.6,88,329317,215.29
899,True Grit,2010,110,7.6,80,309678,171.24
900,Hævnen,2010,118,7.6,65,38348,1.01
901,Despicable Me,2010,95,7.6,72,497451,251.51
902,50/50,2011,100,7.6,72,314355,35.01
903,Kick-Ass,2010,117,7.6,66,522248,48.07
904,Celda 211,2009,113,7.6,-1,63582,
905,Moneyball,2011,133,7.6,87,365840,75.61
906,La piel que habito,2011,120,7.6,70,137803,3.19
907,Zombieland,2009,88,7.6,73,517345,75.59
908,Die Welle,2008,107,7.6,-1,102163,
909,Sherlock Holmes,2009,128,7.6,57,580001,209.03
910,The Blind Side,2009,129,7.6,53,290791,255.96
911,The Visitor,2007,104,7.6,79,41424,9.42
912,Seven Pounds,2008,123,7.6,36,285346,69.95
913,Eastern Promises,2007,100,7.6,82,226549,17.11
914,Stardust,2007,127,7.6,66,253348,38.63
915,The Secret of Kells,2009,71,7.6,81,31149,0.69
916,Inside Man,2006,129,7.6,76,335771,88.51
917,Gone Baby Gone,2007,114,7.6,72,248794,20.3
918,La Vie En Rose,2007,140,7.6,66,82370,10.3
919,Huo Yuan Jia,2006,104,7.6,70,72650,24.63
920,The Illusionist,2006,110,7.6,68,353426,39.87
921,Thank You for Smoking,2005,92,7.6,71,212375,24.79
922,Dead Man's Shoes,2004,90,7.6,52,49156,0.01
923,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,469143,301.96
924,300,2006,117,7.6,52,729403,210.61
925,Match Point,2005,124,7.6,72,205265,23.09
926,Watchmen,2009,162,7.6,56,498115,107.51
927,Lord of War,2005,122,7.6,62,292809,24.15
928,Saw,2004,103,7.6,46,377157,56.0
929,"Synecdoche, New York",2008,124,7.6,67,82382,3.08
930,Mysterious Skin,2004,105,7.6,73,65708,0.7
931,Jeux d'enfants,2003,93,7.6,45,67087,0.55
932,Un long dimanche de fiançailles,2004,133,7.6,76,70688,6.17
933,The Station Agent,2003,89,7.6,81,67150,5.74
934,21 Grams,2003,124,7.6,70,223476,16.29
935,Boksuneun naui geot,2002,129,7.6,56,62190,0.05
936,25th Hour,2002,135,7.6,68,169140,13.06
937,The Butterfly Effect,2004,113,7.6,30,449154,57.94
938,28 Days Later...,2002,113,7.6,73,374799,45.06
939,Batoru rowaiaru,2000,114,7.6,81,168276,
940,The Royal Tenenbaums,2001,110,7.6,76,264973,52.36
941,Y tu mamá también,2001,106,7.6,88,115227,13.62
942,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,647957,317.58
943,The Others,2001,101,7.6,74,335120,96.52
944,Blow,2001,124,7.6,52,239405,52.99
945,Enemy at the Gates,2001,131,7.6,53,242070,51.4
946,Traffic,2000,147,7.6,86,194933,124.12
947,Minority Report,2002,145,7.6,80,505311,132.07
948,The Hurricane,1999,146,7.6,74,91047,50.67
949,American Psycho,2000,101,7.6,64,484980,15.07
950,Lola rennt,1998,81,7.6,77,187612,7.27
951,The Thin Red Line,1998,170,7.6,78,171659,36.4
952,Mulan,1998,88,7.6,71,254315,120.62
953,Fear and Loathing in Las Vegas,1998,118,7.6,41,258437,10.68
954,Funny Games,1997,108,7.6,69,64402,
955,Dark City,1998,100,7.6,66,187154,14.38
956,Sleepers,1996,147,7.6,49,185695,49.1
957,Lost Highway,1997,134,7.6,52,130031,3.8
958,Sense and Sensibility,1995,136,7.6,84,101584,43.18
959,Die Hard: With a Vengeance,1995,128,7.6,58,361669,100.01
960,Dead Man,1995,121,7.6,62,89907,1.04
961,The Bridges of Madison County,1995,135,7.6,69,72581,71.52
962,Apollo 13,1995,140,7.6,77,266791,173.84
963,Trois couleurs: Blanc,1994,92,7.6,88,63447,1.46
964,Falling Down,1993,113,7.6,56,170121,40.9
965,Dazed and Confused,1993,102,7.6,78,164319,7.99
966,My Cousin Vinny,1992,120,7.6,68,106303,52.93
967,Omohide poro poro,1991,118,7.6,90,26554,0.45
968,Delicatessen,1991,99,7.6,66,80048,1.79
969,Home Alone,1990,103,7.6,63,472512,285.76
970,The Godfather: Part III,1990,162,7.6,60,356583,66.67
971,When Harry Met Sally...,1989,95,7.6,76,193899,92.82
972,The Little Mermaid,1989,83,7.6,88,235862,111.54
973,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,151430,78.76
974,"Planes, Trains & Automobiles",1987,93,7.6,72,123376,49.53
975,Lethal Weapon,1987,109,7.6,68,235318,65.21
976,The Fly,1986,96,7.6,79,158719,40.46
977,Indiana Jones and the Temple of Doom,1984,118,7.6,57,445766,179.87
978,Blood Simple,1984,99,7.6,82,86982,2.15
979,On Golden Pond,1981,109,7.6,68,27451,119.29
980,Mad Max 2,1981,96,7.6,77,165569,12.47
981,The Warriors,1979,92,7.6,65,93298,22.49
982,The Muppet Movie,1979,95,7.6,74,32527,76.66
983,Escape from Alcatraz,1979,112,7.6,76,120254,43.0
984,Watership Down,1978,91,7.6,64,33482,
985,Midnight Express,1978,121,7.6,59,73229,35.0
986,Close Encounters of the Third Kind,1977,138,7.6,90,183603,132.09
987,Robin Hood,1973,83,7.6,57,114835,32.06
988,The Long Goodbye,1973,112,7.6,87,25909,0.96
989,Giù la testa,1971,157,7.6,77,29903,0.7
990,Kelly's Heroes,1970,144,7.6,50,44992,1.38
991,The Jungle Book,1967,78,7.6,65,165096,141.84
992,Blowup,1966,111,7.6,82,56069,
993,A Hard Day's Night,1964,87,7.6,96,40040,13.78
994,Breakfast at Tiffany's,1961,115,7.6,76,165460,
995,Giant,1956,201,7.6,84,33841,
996,From Here to Eternity,1953,118,7.6,85,43089,30.5
997,Lifeboat,1944,97,7.6,78,26290,
998,Snow White and the Seven Dwarfs,1937,83,7.6,95,180235,184.93
999,The 39 Steps,1935,86,7.6,93,51460,
